Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,0.25912333349183,0.28372730981359,0.31103299234416,0.27827147893646,0.28183618595767,0.29549512107561,0.19516792587853,0.27850491206479,0.27345661053282,0.28511730476652,0.28429254239742,0.28036255226232,0.28851704028315,0.36969754786471,0.35787182967649,0.36993601047934,0.3555420444784,0.35282159821256,0.32595101264552,0.39739970565667,0.3947356078641,0.36303973911466,0.46871538920921,0.43230275681151,0.43975047051659,0.42263749571008,0.40635154053409,0.32100730154613,0.32473436991663,0.34138759419153,0.36254339956773,0.3456046828098
Afghanistan,0.095004746529806,0.10184255641505,0.061179267011577,0.078182533131136,0.096175716748565,0.056922466498223,0.058904833335691,0.061363796169267,0.064785458084679,0.06596344950898,0.057726590519712,0.056302690358642,0.036637485155982,0.036510165910347,0.032253756954665,0.039868835783489,0.042300118322282,0.051697171532531,0.098884000345427,0.13346894152981,0.14157312505692,0.20778961343658,0.15829973756817,0.12422396923231,0.11426009629267,0.11748049841895,0.10491012610559,0.10902215523823,0.12046226152964,0.10288912688035,0.10668295900483,0.10882022637618
Angola,0.16557952578211,0.17197669066699,0.18796168886755,0.24761450172456,0.23143159394112,0.22684111294459,0.24166107592042,0.23566362058514,0.23380022856897,0.24211069921825,0.21524831193669,0.20257806141414,0.1754021125498,0.18532206008537,0.17053285859525,0.13294232815063,0.12483631391686,0.11284769962602,0.11477454586364,0.12442401042681,0.12784718713727,0.12835107339708,0.11984890397912,0.13136082159597,0.13696635804927,0.14544686638741,0.14058443157255,0.1198688217519,0.11179272899324,0.11856067534723,0.114215060516,0.12027981777166
Anguilla,0.024680956219984,0.039791666198487,0.031376970667094,0.038098064081308,0.04894520834122,0.060946604067687,0.062494925791991,0.052570903611358,0.041937442019721,0.036471350184475,0.05071809290867,0.05243506458349,0.040235823443458,0.044169259995116,0.037246688426764,0.031275609773141,0.027683519056877,0.022593133619713,0.027723008123653,0.051150811751018,0.062891217860773,0.068222725433709,0.073785147445632,0.092105227385045,0.096759509292623,0.11221412023077,0.12560932308266,0.14855478950473,0.18772195260021,0.12220812091267,0.10773124982449,0.12016570486014
International Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.41937166656768,0.38849171950456,0.228264016984,0.19586019559416,0.18977708419212,0.14815537105657,0.13512294214301,0.11756467637526,0.12970234944878,0.18388053661299,0.17984379056544,0.17666370657651,0.19613094857596,0.19525898099769,0.19398792765797,0.17401634826366,0.16278612680667,0.15762458715114,0.14511203151412,0.14354912213961,0.14744268492225,0.15617423333415,0.14046501389077,0.14627742125412,0.15338640479319,0.1436693084059,0.13066941891187,0.14570542354793,0.13923865885105,0.12929862799815,0.12514380159832,0.11245646873123
Curaçao,0.94046454985285,0.95259325618993,0.97641166824991,0.79187631302435,0.86593931054272,0.84178467379613,0.82259899843308,1.5482953682071,1.5385360395897,1.4609720428759,1.4805208341594,1.5007648422664,1.4304995375345,1.4306205679899,1.4907683165642,1.5612494268423,1.5123795834328,1.6033120446636,1.5529815658788,1.463764212761,1.0834464936412,1.3800705475354,1.2466215570805,1.147737399485,1.3037089725483,1.3130770474895,1.1346430197223,0.91857932961501,0.74632602644069,0.59343868549045,0.6027047862357,0.66993039418566
United Arab Emirates,0.27922044273723,0.31492680176008,0.2943737241923,0.30651390359234,0.31570963279423,0.31565506865188,0.31181926587499,0.30037308070766,0.30725122056448,0.30787215795199,0.27557425917798,0.31111880645854,0.31054913378273,0.30004204528182,0.28945584608014,0.293916450097,0.27797174628419,0.29049522624943,0.33706059719522,0.35811515591323,0.36654526331469,0.35135115508818,0.35464087752516,0.35491706863116,0.34275493876017,0.34371048619825,0.3414037020649,0.3274099730935,0.29135838633883,0.29879642453177,0.3024295573293,0.30213935945265
Argentina,0.21818021539807,0.21053393699044,0.19936079050116,0.19067688352285,0.18617448220523,0.19514274538918,0.20202210907513,0.19337062079364,0.19555875499085,0.20591730066162,0.20303431058464,0.20384725776022,0.21521646202124,0.21954072780664,0.22318155367155,0.21002596875767,0.20588307434917,0.19962196291284,0.19796767391147,0.19373535697337,0.1886037558596,0.18680999138775,0.19052467973423,0.19223620787853,0.19500278590046,0.19317482807985,0.19526661624395,0.18690644719274,0.18973418703893,0.18471985188017,0.1923486765058,0.19184029970899
Armenia,1.129504492467,1.3323320869046,1.1683972365578,0.6030359178634,0.31853620375004,0.37389992599852,0.26115324457102,0.324228436151,0.31366707659692,0.27268605295439,0.29481046734433,0.27389944533199,0.20747196858444,0.20324269153388,0.19760788115416,0.20553927638715,0.18311099004035,0.1861569322025,0.19063890375454,0.17838252083436,0.16730563105536,0.18225759284527,0.19599685056796,0.17964001587937,0.17312696037045,0.16347454064317,0.15545910658742,0.15287151659623,0.15377625939815,0.15497244013374,0.17052291481444,0.17126928474993
Antigua and Barbuda,0.44257619378211,0.45672458153956,0.47644880608931,0.42219966155423,0.41583656749679,0.44469013133848,0.4203239586339,0.38849324441928,0.3754169322085,0.38268245264016,0.35426570445846,0.36937802967363,0.39781347950759,0.49775742240555,0.48154008503056,0.44422087190163,0.40065824790803,0.37809607786428,0.38044801350683,0.48260140905226,0.53453358306068,0.62600247817619,0.65363165745746,0.65981545806073,0.65624328740833,0.62222839858718,0.59700586642767,0.41257511365367,0.42176354412141,0.39897534133977,0.41261332032131,0.43632967580381
Australia,0.52562003626492,0.53150218949464,0.53566606093014,0.52234309350203,0.51186753762237,0.50994518385427,0.50808002380388,0.50307333895091,0.51207614343973,0.49549773348664,0.48468728382927,0.48383479863259,0.4759274660942,0.46040839124124,0.45827385181059,0.44870516486778,0.44371084094932,0.43908842877446,0.42789846078355,0.42614779208815,0.41253544573543,0.40032917748956,0.38513904822526,0.36869463823141,0.3516764755547,0.3496296374356,0.34773872795661,0.34357576148141,0.3321040583603,0.32520960592462,0.30125082415015,0.28988123218246
Austria,0.2178679060243,0.22349666515034,0.20199322709584,0.20124510526138,0.19833451748726,0.20281828753183,0.20994391027921,0.20461121917843,0.19911508768405,0.18695037147983,0.18260415973299,0.19288973765141,0.19393136119489,0.20533335709231,0.20285027528535,0.19977593192646,0.18822889452173,0.17480021273425,0.1712654235405,0.16173075726537,0.17241341549462,0.16374635332623,0.15593386877539,0.15716273944936,0.14811210245724,0.14953015286563,0.14771467448357,0.14919768724121,0.13934157365483,0.14109783028255,0.13693721883361,0.13662166415114
