Sector,region,substance,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Net,Africa,CO2,-1962.24401884397,-1936.94903188081,-1825.07004771415,-1650.28358501695,-1606.60117794696,-1501.70279417199,-1437.77360767715,-1478.03385566561,-1359.76075128176,-1276.52782124488,-1092.96483951983,-1134.57687392264,-1106.0008859154,-1092.0944033519,-1058.59379503734,-975.855270494115,-908.64661551921,-884.726267375204,-962.555755403123,-991.907699388807,-856.986454917813,-366.177341964689,-413.791336615284,-461.283133166047,-461.628062404806,-405.297167984228,-629.730504332343,-553.83708439258,-563.65172532769,-605.658592681681,-483.387286331112
Net,Asia-Pacific Developed,CO2,-70.5832024572605,-51.2895566117219,-47.3191592490026,269.164163601678,-102.622853829049,-124.728877910854,-266.389669850893,-359.028178694791,-140.314373072149,-41.2589718886328,204.083434369523,305.405525538984,621.532527032344,-210.545024712679,81.6358308493192,-328.214595327074,216.605028914943,155.36650753331,-239.426128444989,-200.750626551667,-340.676759858151,795.176862422319,682.305598991186,-224.020826717835,-9.07109915127643,-37.5110128379189,-339.238006155742,164.97762182031,67.2449052671683,-8.15811192566581,-283.312382742072
Net,Eastern Asia,CO2,-1380.81033821898,-1385.62780865956,-1338.05027991662,-1391.00806265765,-1430.34502169279,-1424.87326397394,-1468.82051174851,-1523.37006810123,-1420.18424360007,-1441.13759301344,-1400.1885059056,-1504.48033312576,-1554.08888862701,-1538.74247184265,-1552.52993682934,-1573.86025365102,-1603.65633808622,-1540.4844712013,-1477.22125756838,-1444.49528196275,-1419.59085421926,-1484.39784612248,-1491.71093619677,-1481.68167493175,-1564.21261446823,-1608.66873686968,-1517.97886658068,-1528.72383911797,-1492.19872595114,-1502.3932797266,-1508.13018416841
Net,Eurasia,CO2,-848.911101920389,-767.781721677128,-796.058195775971,-1148.62350058628,-1131.18418601952,-1132.77838732389,-1272.21288401041,-1319.17387431604,-1568.70825038671,-1259.87010149366,-1124.36772492531,-1483.9387228737,-1491.5425777538,-1270.56931126981,-1430.16191051723,-1454.22043093733,-1403.09587564267,-1424.23857535693,-1416.09605274212,-1624.74212076436,-1565.94708767904,-1489.27601019784,-1378.02392096437,-1489.53760585177,-1367.07726283204,-1442.35226417504,-1346.60010609303,-1453.8927203812,-1183.72639126046,-1282.17368132829,-1332.46608633908
Net,Europe,CO2,-593.052922833681,-722.152787087488,-712.627797373973,-730.869329570619,-687.252973143694,-658.840310776165,-675.243761200851,-665.836711498298,-629.777552289856,-721.240455237214,-574.334247727236,-605.429468291789,-638.415386375031,-628.610581991246,-610.666519011298,-563.042596376703,-630.181577367536,-556.9677277058,-569.106947644391,-648.061051136389,-564.663307079442,-539.488479564291,-555.11911120056,-532.067463737498,-517.069690886823,-520.037278202469,-522.246383628211,-510.085664154768,-469.458882825213,-428.37419959667,-478.171970428701
Net,Latin America and Caribbean,CO2,934.019364324003,979.490649692604,927.895026122386,942.435580423062,1066.05211311681,1140.01952683519,1148.13660708727,1163.20634498624,1214.81311733804,1327.71629111633,1341.48157733521,1310.08219244988,1335.74641352612,1490.05911859168,1515.96043235358,1439.53747265809,577.770924464645,615.555846065647,404.913351695392,371.712001128824,407.791849635185,113.045563804037,204.606693533402,176.437218441597,179.854598770414,115.402217937348,213.604943981841,272.343667980617,329.08203849628,226.716075566889,222.482142664338
Net,Middle East,CO2,89.8988529015081,93.9779215911765,90.2448878943289,91.1020045773704,93.9624977361176,94.1263086115837,96.3185225245196,91.3634530659114,96.3332187091456,93.6322434731241,92.6333787120267,93.2956460603245,89.3970413869271,89.7848511370245,90.0779439341908,90.0577150085826,90.0642047431129,90.5083382289082,90.0716832909629,90.167295083599,91.42997893733,90.7732094434671,90.4674159764881,90.8500783519326,91.5670309695188,90.7188050253518,90.9554421360721,90.8067559296027,90.4459173214119,111.229445035557,94.0890726125072
Net,North America,CO2,-1721.02121016586,-1746.63805832718,-1803.79884264441,-1772.24504192963,-1646.9914454409,-1600.90560245952,-1813.93380477115,-1831.50218490127,-1621.3394868947,-1790.56516395905,-1740.86705926166,-1922.91317389583,-1883.85232334369,-1978.63516700132,-1845.98597569581,-1892.00560030293,-2001.0667672682,-1997.8259808093,-2167.9031729934,-2321.02421055283,-2199.29701141849,-2141.9550300431,-2151.08944606316,-2056.15950157008,-2114.71613574266,-1985.72407232193,-2232.54049945642,-2194.86133802731,-2099.31297470576,-2064.37055609921,-2180.25714065577
Net,South-East Asia and developing Pacific,CO2,1200.00768871834,1195.18064028142,1183.58701077452,1100.93494009894,1026.13240540731,986.483906934513,954.382734931473,942.393616301697,931.285752565936,949.392245474941,929.227889952173,830.170596087281,884.136417243901,924.056052190366,929.613418999778,896.461072493038,1028.80135282764,1050.4343308395,981.022570654944,878.987513630398,957.72093549313,1227.11946628999,1225.81626138576,1316.31976541475,1307.8034108051,1135.95788949154,1090.64852048561,1070.56631178419,1079.50240310996,1156.25909843248,1140.76155253757
Net,Southern Asia,CO2,829.224963438089,874.362584726521,885.617063679872,901.069180416289,911.16644721276,918.79748183494,890.428090446562,881.971627808305,895.488042266317,906.754792058144,908.865982022219,916.502056963129,1000.52888806922,1011.20846864307,1006.19233209096,1009.80147034735,1012.69468154196,1025.07150873311,1025.06497873631,1032.84296095804,1031.05875543544,933.434196995309,932.998736099045,923.757085586995,921.688398010493,904.774084749152,905.266002207624,894.670538193916,889.997256032559,884.027259706294,873.816343639652
